dataset,source,n,d,IR,R_mean,R_std,R_n_mean,R_n_std,R_p_mean,R_p_std,R_g_mean,R_g_std,C_mean,C_std,pct_arch_A,pct_arch_C,archetype_label,archetype_main_label,pct_comp_O,pct_comp_B,pct_comp_D,compensation_label,compensation_main_label
isolet,imblearn,7797,617,11.995,0.8939,0.0191,0.0834,0.0,11.4446,0.1868,0.7269,0.0046,1.2889,0.0174,0.0,100.0,C,C,0.0,0.0,100.0,D,D
ecoli-0-1-4-7_vs_5-6,KEEL,332,6,12.28,0.8404,0.099,0.0814,0.0002,5.8669,0.6998,3.2583,0.2785,0.5442,0.0533,100.0,0.0,A,A,0.0,20.0,80.0,DB,D
us_crime,imblearn,1994,100,12.293,0.6375,0.0259,0.0813,0.0,5.6935,0.2128,2.0239,0.0668,0.6808,0.025,100.0,0.0,A,A,0.0,0.0,100.0,D,D
cleveland-0_vs_4,KEEL,173,13,12.308,0.9602,0.1123,0.0812,0.0039,9.7951,0.6255,2.1987,0.1264,0.5493,0.0406,100.0,0.0,A,A,16.7,33.3,50.0,DBO,D
yeast_ml8,imblearn,2417,103,12.579,0.1623,0.0072,0.0795,0.0003,2.04,0.0923,1.001,0.0012,0.9996,0.001,76.7,23.3,AC,A,0.0,0.0,100.0,D,D
scene,imblearn,2407,294,12.599,0.4015,0.0173,0.0794,0.0003,4.9807,0.2062,0.9151,0.0224,1.1107,0.0385,0.0,100.0,C,C,0.0,0.0,100.0,D,D
ecoli-0-1-4-6_vs_5,KEEL,280,6,13.0,0.5511,0.0597,0.0769,0.0,5.8012,0.5629,1.8775,0.1683,0.6621,0.0593,100.0,0.0,A,A,0.0,0.0,100.0,D,D
shuttle-c0-vs-c4,KEEL,1829,9,13.87,23.8289,9.0888,0.0721,0.0004,13.2652,0.231,16.7156,4.556,1.4761,0.5239,100.0,0.0,A,A,100.0,0.0,0.0,O,O
libras_move,imblearn,360,90,14.0,0.7229,0.065,0.0714,0.0016,8.3118,1.1534,1.1415,0.0524,1.076,0.072,100.0,0.0,A,A,0.0,0.0,100.0,D,D
yeast-1_vs_7,KEEL,459,7,14.3,0.4458,0.0485,0.0699,0.0001,3.3711,0.2473,1.2903,0.0831,1.4652,0.0638,100.0,0.0,A,A,0.0,0.0,100.0,D,D
thyroid_sick,imblearn,3772,52,15.329,0.5469,0.0328,0.0652,0.0001,7.8403,0.2508,1.2416,0.2693,0.9189,0.279,80.0,20.0,AC,A,0.0,0.0,100.0,D,D
glass4,KEEL,214,9,15.462,0.3779,0.0822,0.0647,0.0032,6.8045,1.3819,3.505,0.4659,0.2502,0.0469,100.0,0.0,A,A,0.0,0.0,100.0,D,D
coil_2000,imblearn,9822,85,15.761,0.2124,0.0128,0.0634,0.0001,2.1194,0.0369,1.2862,0.0567,1.228,0.0455,100.0,0.0,A,A,0.0,0.0,100.0,D,D
ecoli4,KEEL,336,7,15.8,0.7347,0.0955,0.0633,0.0001,9.4038,0.9122,1.679,0.2778,0.745,0.0687,100.0,0.0,A,A,0.0,0.0,100.0,D,D
page-blocks-1-3_vs_4,KEEL,472,10,15.857,0.5679,0.1236,0.0631,0.0014,3.2542,0.3793,5.7991,0.687,0.4919,0.1274,100.0,0.0,A,A,0.0,0.0,100.0,D,D
abalone9-18,KEEL,731,10,16.405,0.3464,0.0323,0.061,0.0009,4.1473,0.2632,1.614,0.1169,0.8519,0.0695,100.0,0.0,A,A,0.0,0.0,100.0,D,D
arrhythmia,imblearn,452,278,17.08,0.6668,0.0296,0.0585,0.0001,14.431,0.2936,0.504,0.0333,1.5717,0.1104,0.0,100.0,C,C,0.0,0.0,100.0,D,D
solar_flare_m0,imblearn,1389,32,19.426,0.3051,0.0266,0.0515,0.0005,3.3105,0.254,2.0512,0.072,0.8737,0.0436,100.0,0.0,A,A,0.0,0.0,100.0,D,D
glass-0-1-6_vs_5,KEEL,184,9,19.444,0.3403,0.0508,0.0514,0.0029,8.5526,0.6329,1.4693,0.3426,0.5557,0.1417,83.3,16.7,AC,A,0.0,0.0,100.0,D,D
shuttle-c2-vs-c4,KEEL,129,9,20.5,1.0983,0.8734,0.0488,0.0043,14.0971,3.811,3.4531,0.3958,0.4269,0.2356,100.0,0.0,A,A,36.7,0.0,63.3,DO,D
oil,imblearn,937,49,21.854,0.3758,0.0185,0.0458,0.0006,8.8218,0.4452,1.0701,0.0723,0.8737,0.0572,90.0,10.0,AC,A,0.0,0.0,100.0,D,D
yeast-1-4-5-8_vs_7,KEEL,693,8,22.1,0.1174,0.0235,0.0452,0.0,2.14,0.2678,0.7259,0.0572,1.657,0.0941,0.0,100.0,C,C,0.0,0.0,100.0,D,D
